formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull,N_excess,band_gap,electride,full_dft_e_hull
Cs10Br9_s004,Cs10Br9,0.0,38.76438703683763,38.76438703683763,38.5494083402978,0.0,83,-2.947647496273643,-0.0152830607012695,-2.921104319473684,0.0174508232667878,1.0,0.0,True,0.017450823266787818
Ba2N1_s032,Ba2N1,52.76226466465827,56.80185566876037,55.61480544171108,59.42523758937994,0.0,36,-4.44044303894043,-2.1192762567068257e-07,-4.445609276666667,0.0176694966666666,1.0,0.0,True,0.017669496666666618
Ba2N1_s002,Ba2N1,0.0,58.227798846972114,56.57337714008569,57.055536079933646,0.0,164,-4.440441767374675,1.0596381292415913e-06,-4.444830706666667,0.0184480666666662,1.0,0.0,True,0.018448066666666207
Y9N8_s025,Y9N8,0.0,25.387589711454904,23.94853963315649,0.0,20.79599383555284,139,-8.91126116584329,0.0205341226914352,-8.95132032382353,-0.0172169736274536,3.0,0.0,True,0.018661626372548312
Y5P4_s005,Y5P4,0.0,30.533869415532187,23.36401916940121,0.0,27.41428723213249,71,-7.440950181749132,-0.0019144482082795,-7.433764977222221,0.0096230220370383,3.0,0.0,True,0.018719053253968276
Y8N7_s018,Y8N7,0.0,27.868960802673364,25.32741660204365,0.0,24.23130676418391,65,-8.891423543294271,0.0196633021036767,-8.930356693666665,-0.0168169454444448,3.0,0.0,True,0.018762666222224667
Ba2N1_s001,Ba2N1,0.0,58.00560039818091,56.593060326208,55.82889478769415,0.0,166,-4.440441555447048,1.2715657558004525e-06,-4.444491196666666,0.0187875766666669,1.0,0.0,True,0.018787576666666972
Y5N4_s036,Y5N4,32.236572904159964,4.00102262848112,24.43416901672604,10.579649103375685,23.701837182742945,59,-8.784344991048178,0.0093940099080391,-8.811698287222221,-0.0146856168518514,3.0,0.0,True,0.019199727592594584
Ba2N1_s014,Ba2N1,52.8162994103817,56.92415423763273,55.66838086392541,59.48610636484375,0.0,186,-4.440442721048991,1.0596381283534129e-07,-4.44353432,0.0197444533333328,1.0,0.0,True,0.019744453333332856
Cs10I9_s021,Cs10I9,0.0,38.10390540064122,38.10390540064122,37.57010373423462,0.0,83,-2.6698855349892066,-0.0325731258643302,-2.637459366842105,0.0202744790562614,1.0,0.0,True,0.020274479056261452
Cs7Br6_s025,Cs7Br6,0.0,35.937544641879185,36.77296680693732,34.745044507724955,0.0,71,-2.8669906029334435,0.0117660623330335,-2.8655767688461538,0.0205898413129976,1.0,0.0,True,0.02058984131299768
Y6N5_s011,Y6N5,0.0,29.480235831757025,29.92511624409492,0.0,25.50718410817021,47,-8.823330965909092,0.0237479643388223,-8.863993286363636,-0.0140137624242431,3.0,0.0,True,0.020641703484848506
Y3N2_s002,Y3N2,0.0,47.3705828282676,46.84588825596786,35.90702461694926,43.83127747114662,164,-8.537065887451172,0.021977424621582,-8.573251594,-0.0092930793333341,3.0,0.0,True,0.021203730666666587
Sc8N7_s016,Sc8N7,0.0,22.723526067328763,21.71969324456163,2.536092200368574,21.44065043512279,65,-9.039656575520834,0.0042321014404294,-9.035965851333334,0.021316787333335,3.0,0.0,True,0.021316787333335085
Cs10Cl9_s026,Cs10Cl9,0.0,38.323237731756016,38.48379672013223,38.32878118562172,0.0,83,-3.198476891768606,-0.0180836759115519,-3.1707805115789474,0.0215329564246826,1.0,0.0,True,0.02153295642468267
Cs8Cl7_s004,Cs8Cl7,30.90155004910931,31.59251441178253,31.925817083716908,30.710864389143044,0.0,47,-3.141152191162109,0.0045931458473207,-3.1364621653333336,0.0218229901379309,1.0,0.0,True,0.021822990137930987
Cs8Br7_s011,Cs8Br7,0.0,47.68557735126165,48.05717320431485,47.650075811628525,0.0,65,-2.9049809773763022,-0.003589920202891,-2.8858778026666667,0.0224084101379311,1.0,0.0,True,0.022408410137931156
Y4P3_s001,Y4P3,0.0,30.87545192543837,29.68689354760601,0.0,29.251440932215697,166,-7.384860084170387,0.0187380200340632,-7.394519872380952,0.0139782380952384,3.0,0.0,True,0.022749411054421742
Y5P4_s045,Y5P4,0.0,34.05766458658368,24.897866153134817,0.0,30.62646679091953,59,-7.437657674153645,0.001378059387207,-7.429670476666668,0.013717522592592,3.0,0.0,True,0.02281355380952199
Y8N7_s009,Y8N7,0.0,29.10932049164943,27.610503477315028,0.0,24.80443552340906,123,-8.885884602864584,0.0252022425333642,-8.926197928666666,-0.0126581804444452,3.0,0.0,True,0.022921431222224342
Y5N4_s003,Y5N4,37.48699976237682,40.982098321947625,41.96959706573476,0.0,37.8866015843308,87,-8.773228115505642,0.0205108854505748,-8.807951235555556,-0.0109385651851869,3.0,0.0,True,0.02294677925925903
Ba6Br11_s029,Ba6Br11,0.0,35.242183222839046,35.242183222839046,33.42940215295072,0.0,21,-3.9010041180778954,-0.0095796129282783,-3.872706871176471,0.0230631864705879,1.0,0.0,True,0.023063186470587915
Cs8Cl7_s027,Cs8Cl7,32.19593363356753,33.73440628341791,33.73440628341791,32.752021415045206,0.0,65,-3.149819183349609,-0.0040738463401792,-3.1343141423333334,0.0239710131379311,1.0,0.0,True,0.023971013137931152
Li9N2_s005,Li9N2,19.38762895286903,30.474086457546928,20.605090602296137,24.29063159958993,42.61774148923394,156,-3.323272011496804,0.0392629450017754,-3.3243182336363635,0.0198304736363637,3.0,0.0,True,0.023993298787878814
Sc8N7_s028,Sc8N7,0.0,23.247317415869777,26.98365987895712,0.0,26.842279516381893,65,-9.039559936523435,0.0043287404378258,-9.033239214,0.0240434246666687,3.0,0.0,True,0.024043424666668756
Sc3N2_s004,Sc3N2,0.0,27.058000825821203,44.31709564223554,0.0,43.22050708323593,164,-8.666605377197266,-0.0162816215963932,-8.643923478000001,0.0242103241176465,3.0,0.0,True,0.024210324117646564
Ba10S9_s029,Ba10S9,22.85250412880517,23.95561491888438,24.269347096189385,26.36838641850253,0.0,65,-4.9111986662212175,0.020725833742242,-4.913946068421052,0.0245540810526314,2.0,,True,0.02455408105263146
Cs6Br5_s010,Cs6Br5,0.0,42.03459117945302,43.01575902367348,40.58872292219053,0.0,47,-2.8318618427623403,0.0160297426310447,-2.8314318272727275,0.0245716883699058,1.0,0.0,True,0.024571688369905864
Cs8Cl7_s005,Cs8Cl7,0.0,44.20152613749656,44.70442966082496,44.19153375511473,0.0,123,-3.1495590209960938,-0.0038136839866638,-3.1336858566666668,0.0245992988045977,1.0,0.0,True,0.02459929880459777
Li9N2_s020,Li9N2,14.986316568941756,27.82048993720978,20.654766259671,45.80926438374194,42.70462707499966,12,-3.323844562877308,0.0386903936212714,-3.323640330454545,0.0205083768181819,3.0,0.0,True,0.024671201969697076
Na8Cl7_s007,Na8Cl7,0.0,20.880700062230662,20.880700062230662,21.19077201997794,0.0,160,-3.2265567355685763,0.0195259041256372,-3.225675296222222,0.024764108007663,1.0,0.0,True,0.024764108007663044
Y8N7_s024,Y8N7,0.0,25.136350547432897,25.602583486398466,0.0,20.35966850665389,139,-8.88304443359375,0.0280424118041988,-8.924262064333334,-0.0107223161111136,3.0,0.0,True,0.024857295555555936
Na7Br6_s024,Na7Br6,0.0,22.868670658769258,22.62185803978108,23.273273284011907,0.0,166,-2.8974464612129407,0.023288769599719,-2.898905532307692,0.0250478194960215,1.0,0.0,True,0.02504781949602153
Cs7Cl6_s012,Cs7Cl6,35.31638225745329,36.11693493010292,36.50860385121632,35.12115473002048,0.0,71,-3.1112940861628604,0.009131647073306,-3.108354614230769,0.0250636974668441,1.0,0.0,True,0.025063697466844115
Cs8I7_s022,Cs8I7,0.0,47.43344729464936,47.43344729464936,46.64374875361887,0.0,65,-2.639484151204427,-0.0287739793459573,-2.606219062333333,0.025406169137931,1.0,0.0,True,0.025406169137931034
Y5N4_s005,Y5N4,0.0,32.24040321879526,34.03919477692462,0.0,32.146815592547526,71,-8.766806708441841,0.0269322925143757,-8.805253272777778,-0.0082406024074082,3.0,0.0,True,0.025644742037037815
Cs5O1_s072,Cs5O1,0.0,87.52414348749443,88.09116499841939,86.61510799979538,89.04533244429626,79,-2.0170844395955405,0.0253151575724284,-2.0494685425,0.0256460581896549,3.0,0.0,True,0.02564605818965493
